trip_id,violation_type,timestamp
TRIP-001,no_seatbelt,2026-08-24T00:30:25
TRIP-001,yawning,2026-08-24T00:31:14
TRIP-001,yawning,2026-08-24T00:31:20
TRIP-001,drowsiness,2026-08-24T00:31:25
TRIP-001,phone_use,2026-08-24T00:31:34
TRIP-001,drowsiness,2026-08-24T00:31:35
TRIP-001,yawning,2026-08-24T00:31:39
TRIP-001,drowsiness,2026-08-24T00:31:41
TRIP-001,drowsiness,2026-08-24T00:31:46
TRIP-001,yawning,2026-08-24T00:31:47
TRIP-001,phone_use,2026-08-24T00:31:49
TRIP-001,drowsiness,2026-08-24T00:31:55
TRIP-001,phone_use,2026-08-24T00:32:07
TRIP-001,yawning,2026-08-24T00:32:07
TRIP-001,yawning,2026-08-24T00:32:13
TRIP-001,phone_use,2026-08-24T00:32:15
TRIP-001,drowsiness,2026-08-24T00:32:19
TRIP-001,yawning,2026-08-24T00:32:20
TRIP-001,phone_use,2026-08-24T00:32:23
TRIP-001,phone_use,2026-08-24T00:32:32
TRIP-001,phone_use,2026-08-24T00:32:41
TRIP-001,phone_use,2026-08-24T00:32:50
TRIP-001,phone_use,2026-08-24T00:33:04
TRIP-001,phone_use,2026-08-24T00:33:25
TRIP-001,drowsiness,2026-08-24T00:34:35
TRIP-001,yawning,2026-08-24T00:34:36
TRIP-001,phone_use,2026-08-24T00:34:52
TRIP-001,phone_use,2026-08-24T00:35:00
TRIP-001,phone_use,2026-08-24T00:35:08
TRIP-001,phone_use,2026-08-24T00:35:16
TRIP-001,drowsiness,2026-08-24T00:35:37
TRIP-001,drowsiness,2026-08-24T00:35:47
TRIP-001,drowsiness,2026-08-24T00:35:57
TRIP-001,drowsiness,2026-08-24T00:36:05
